"gameid","homeid","visitid","homescore","visitscore","year","seasontype","gamedate"
"290130005","5","2116","60","52","2009","2","2009-01-13"
"290130202","202","235","54","55","2009","2","2009-01-13"
"290140042","42","311","76","71","2009","2","2009-01-14"
"290140104","104","261","56","70","2009","2","2009-01-14"
"290140160","160","2378","65","47","2009","2","2009-01-14"
"290140219","219","218","53","78","2009","2","2009-01-14"
"290140221","221","58","75","62","2009","2","2009-01-14"
"290140259","259","257","62","48","2009","2","2009-01-14"
"290140399","399","2066","72","66","2009","2","2009-01-14"
"290142132","2132","164","71","59","2009","2","2009-01-14"
"290142168","2168","2230","72","71","2009","2","2009-01-14"
"290142184","2184","45","88","83","2009","2","2009-01-14"
"290142429","2429","2325","61","68","2009","2","2009-01-14"
"290142638","2638","248","86","94","2009","2","2009-01-14"
"290142729","2729","2244","57","61","2009","2","2009-01-14"
"290150227","227","2752","65","67","2009","2","2009-01-15"
"290152599","2599","41","55","67","2009","2","2009-01-15"
"290170097","97","221","69","63","2009","2","2009-01-17"
"290170113","113","218","79","75","2009","2","2009-01-17"
"290170139","139","45","63","59","2009","2","2009-01-17"
"290170235","235","5","81","68","2009","2","2009-01-17"
"290170242","242","2116","52","77","2009","2","2009-01-17"
"290170257","257","179","67","71","2009","2","2009-01-17"
"290170277","277","58","62","59","2009","2","2009-01-17"
"290170305","305","2132","55","59","2009","2","2009-01-17"
"290172066","2066","104","64","81","2009","2","2009-01-17"
"290172184","2184","2168","69","78","2009","2","2009-01-17"
"290172244","2244","256","71","57","2009","2","2009-01-17"
"290172378","2378","42","69","60","2009","2","2009-01-17"
"290172572","2572","248","83","76","2009","2","2009-01-17"
"290172619","2619","261","72","83","2009","2","2009-01-17"
"290180041","41","2550","76","61","2009","2","2009-01-18"
"290180227","227","2230","98","67","2009","2","2009-01-18"
"290182752","2752","2325","73","53","2009","2","2009-01-18"
"290190261","261","2378","76","42","2009","2","2009-01-19"
"290192066","2066","42","66","59","2009","2","2009-01-19"
"290192507","2507","2132","72","63","2009","2","2009-01-19"
"290200058","58","305","70","61","2009","2","2009-01-20"
"290210041","41","222","89","83","2009","2","2009-01-21"
"290210111","111","2244","58","57","2009","2","2009-01-21"
"290210164","164","97","59","78","2009","2","2009-01-21"
"290210235","235","242","80","52","2009","2","2009-01-21"
"290210248","248","151","85","67","2009","2","2009-01-21"
"290210257","257","227","78","75","2009","2","2009-01-21"
"290212116","2116","2572","73","61","2009","2","2009-01-21"
"290212325","2325","219","79","70","2009","2","2009-01-21"
"290212603","2603","2184","99","98","2009","2","2009-01-21"
"290220042","42","261","65","79","2009","2","2009-01-22"
"290220045","45","2168","61","63","2009","2","2009-01-22"
"290220104","104","2378","80","77","2009","2","2009-01-22"
"290220160","160","2066","47","60","2009","2","2009-01-22"
"290220218","218","139","65","40","2009","2","2009-01-22"
"290222599","2599","2132","60","71","2009","2","2009-01-22"
"290240012","12","248","96","90","2009","2","2009-01-24"
"290240058","58","222","61","70","2009","2","2009-01-24"
"290240087","87","41","61","69","2009","2","2009-01-24"
"290240113","113","2325","54","62","2009","2","2009-01-24"
"290240218","218","2429","80","53","2009","2","2009-01-24"
"290242599","2599","164","70","59","2009","2","2009-01-24"
"290242633","2633","235","52","54","2009","2","2009-01-24"
"290242670","2670","2244","76","71","2009","2","2009-01-24"
"290250045","45","227","89","94","2009","2","2009-01-25"
"290250139","139","257","62","70","2009","2","2009-01-25"
"290250183","183","97","57","67","2009","2","2009-01-25"
"290250261","261","160","72","56","2009","2","2009-01-25"
"290250399","399","2378","80","71","2009","2","2009-01-25"
"290252116","2116","276","87","69","2009","2","2009-01-25"
"290252168","2168","179","80","68","2009","2","2009-01-25"
"290252230","2230","2184","68","89","2009","2","2009-01-25"
"290252619","2619","42","72","63","2009","2","2009-01-25"
"290272244","2244","48","78","55","2009","2","2009-01-27"
"290280097","97","58","80","54","2009","2","2009-01-28"
"290280151","151","235","64","85","2009","2","2009-01-28"
"290280179","179","2230","65","67","2009","2","2009-01-28"
"290280227","227","218","67","59","2009","2","2009-01-28"
"290280248","248","2638","55","62","2009","2","2009-01-28"
"290280257","257","2603","58","68","2009","2","2009-01-28"
"290280261","261","311","75","65","2009","2","2009-01-28"
"290280305","305","41","49","71","2009","2","2009-01-28"
"290280399","399","42","59","50","2009","2","2009-01-28"
"290282116","2116","2567","70","45","2009","2","2009-01-28"
"290282132","2132","46","65","57","2009","2","2009-01-28"
"290282325","2325","45","76","66","2009","2","2009-01-28"
"290282378","2378","2066","84","78","2009","2","2009-01-28"
"290292168","2168","139","47","46","2009","2","2009-01-29"
"290292550","2550","164","70","67","2009","2","2009-01-29"
"290310041","41","2507","94","61","2009","2","2009-01-31"
"290310042","42","104","47","72","2009","2","2009-01-31"
"290310097","97","277","69","63","2009","2","2009-01-31"
"290310160","160","261","39","83","2009","2","2009-01-31"
"290310164","164","305","75","56","2009","2","2009-01-31"
"290310218","218","257","74","65","2009","2","2009-01-31"
"290310227","227","2325","98","88","2009","2","2009-01-31"
"290310235","235","248","83","68","2009","2","2009-01-31"
"290310295","295","2244","73","71","2009","2","2009-01-31"
"290312066","2066","311","83","77","2009","2","2009-01-31"
"290312184","2184","179","74","68","2009","2","2009-01-31"
"290312230","2230","139","58","88","2009","2","2009-01-31"
"290312619","2619","2378","56","55","2009","2","2009-01-31"
"290312655","2655","2116","74","79","2009","2","2009-01-31"
"290320222","222","2132","71","50","2009","2","2009-02-01"
"290322168","2168","2603","69","58","2009","2","2009-02-01"
"290322599","2599","58","65","48","2009","2","2009-02-01"
"290330097","97","41","51","68","2009","2","2009-02-02"
"290332378","2378","104","65","82","2009","2","2009-02-02"
"290340046","46","164","57","47","2009","2","2009-02-03"
"290342244","2244","2275","78","54","2009","2","2009-02-03"
"290350042","42","160","55","62","2009","2","2009-02-04"
"290350113","113","257","80","71","2009","2","2009-02-04"
"290350139","139","2184","78","74","2009","2","2009-02-04"
"290350261","261","2066","83","85","2009","2","2009-02-04"
"290352116","2116","248","69","97","2009","2","2009-02-04"
"290352132","2132","87","93","83","2009","2","2009-02-04"
"290352325","2325","2168","61","63","2009","2","2009-02-04"
"290352567","2567","235","66","79","2009","2","2009-02-04"
"290352603","45","2603","58","66","2009","2","2009-02-04"
"290362429","2429","227","64","71","2009","2","2009-02-05"
"290362752","2752","218","83","74","2009","2","2009-02-05"
"290370058","58","269","57","56","2009","2","2009-02-06"
"290380041","41","130","69","61","2009","2","2009-02-07"
"290380045","45","2230","87","62","2009","2","2009-02-07"
"290380046","46","2132","62","64","2009","2","2009-02-07"
"290380151","151","2116","89","75","2009","2","2009-02-07"
"290380179","179","2325","72","67","2009","2","2009-02-07"
"290380248","248","242","72","65","2009","2","2009-02-07"
"290380256","256","2244","68","66","2009","2","2009-02-07"
"290380311","311","2378","68","73","2009","2","2009-02-07"
"290380399","399","261","70","79","2009","2","2009-02-07"
"290382184","2184","2752","72","68","2009","2","2009-02-07"
"290382250","2250","235","50","68","2009","2","2009-02-07"
"290382619","2619","2066","61","63","2009","2","2009-02-07"
"290390164","164","2550","60","65","2009","2","2009-02-08"
"290390218","218","227","68","62","2009","2","2009-02-08"
"290390257","257","139","72","85","2009","2","2009-02-08"
"290392429","2429","2168","79","66","2009","2","2009-02-08"
"290392599","2599","97","47","60","2009","2","2009-02-08"
"290400261","261","42","71","63","2009","2","2009-02-09"
"290402066","2066","399","88","75","2009","2","2009-02-09"
"290410058","58","2507","62","77","2009","2","2009-02-10"
"290412378","2378","160","81","76","2009","2","2009-02-10"
"290420041","41","183","63","49","2009","2","2009-02-11"
"290420045","45","2325","57","68","2009","2","2009-02-11"
"290420227","227","179","87","80","2009","2","2009-02-11"
"290420235","235","202","63","37","2009","2","2009-02-11"
"290420257","257","2184","71","67","2009","2","2009-02-11"
"290420261","261","104","75","47","2009","2","2009-02-11"
"290420311","311","42","68","63","2009","2","2009-02-11"
"290422132","2132","2599","71","61","2009","2","2009-02-11"
"290422168","2168","2752","71","58","2009","2","2009-02-11"
"290422230","2230","113","68","91","2009","2","2009-02-11"
"290422567","2567","248","56","69","2009","2","2009-02-11"
"290422638","2638","2116","73","68","2009","2","2009-02-11"
"290430048","48","2244","66","58","2009","2","2009-02-12"
"290430087","87","97","90","57","2009","2","2009-02-12"
"290432603","2603","218","59","61","2009","2","2009-02-12"
"290450042","42","2378","63","80","2009","2","2009-02-14"
"290450104","104","2066","59","60","2009","2","2009-02-14"
"290450221","221","2132","85","69","2009","2","2009-02-14"
"290450227","227","139","69","61","2009","2","2009-02-14"
"290450248","248","2655","83","64","2009","2","2009-02-14"
"290452116","2116","202","74","72","2009","2","2009-02-14"
"290452168","2168","257","69","63","2009","2","2009-02-14"
"290452244","2244","111","64","53","2009","2","2009-02-14"
"290452325","2325","2603","75","68","2009","2","2009-02-14"
"290452429","2429","45","69","51","2009","2","2009-02-14"
"290452507","2507","164","78","68","2009","2","2009-02-14"
"290452550","2550","41","54","62","2009","2","2009-02-14"
"290452572","2572","235","47","72","2009","2","2009-02-14"
"290452752","2752","2230","88","53","2009","2","2009-02-14"
"290460087","87","58","67","57","2009","2","2009-02-15"
"290460097","97","305","99","54","2009","2","2009-02-15"
"290460261","261","2619","69","64","2009","2","2009-02-15"
"290462184","2184","218","73","78","2009","2","2009-02-15"
"290470041","41","221","68","76","2009","2","2009-02-16"
"290482378","2378","261","65","77","2009","2","2009-02-17"
"290490042","42","2066","44","62","2009","2","2009-02-18"
"290490058","58","46","40","65","2009","2","2009-02-18"
"290490097","97","2507","94","76","2009","2","2009-02-18"
"290490113","113","227","59","71","2009","2","2009-02-18"
"290490218","218","2230","72","45","2009","2","2009-02-18"
"290490235","235","2567","90","47","2009","2","2009-02-18"
"290490276","276","248","88","83","2009","2","2009-02-18"
"290492244","2244","2182","49","48","2009","2","2009-02-18"
"290492325","2325","257","53","62","2009","2","2009-02-18"
"290500045","45","179","90","62","2009","2","2009-02-19"
"290500222","222","164","82","72","2009","2","2009-02-19"
"290520041","41","58","64","50","2009","2","2009-02-21"
"290520139","139","2168","57","49","2009","2","2009-02-21"
"290520248","248","2116","77","72","2009","2","2009-02-21"
"290520257","257","2429","65","58","2009","2","2009-02-21"
"290522132","2132","97","63","72","2009","2","2009-02-21"
"290522230","2230","227","58","77","2009","2","2009-02-21"
"290522638","2638","235","63","70","2009","2","2009-02-21"
"290530156","156","2244","76","63","2009","2","2009-02-21"
"290530164","164","277","56","74","2009","2","2009-02-22"
